CityCode,Exit,CodeT,City,District,Ward,RoadCode,Road,UnderGround,BuildingNo,BuildingNoEx,BuildingName,PostalCode,UseType,Separate,WardEx,RentPrice,Lat,Long
11110,4933,1111010100,?????????,???ес?,???,1.11E+11,???????,0,96,0,????,3047,????,0,???????,2850,126.9704468,37.58448135
11110,287,1111010100,?????????,???ес?,???,1.11E+11,???????,0,98,0,?????,3047,????,0,???????,1695,126.9704148,37.58466535
11110,1336,1111010100,?????????,???ес?,???,1.11E+11,???????,0,99,3,???????????,3032,????,1,???????,2390,126.9698947,37.58487711
11110,6021,1111010100,?????????,???ес?,???,1.11E+11,???????,0,99,4,?????,3032,????,1,???????,785,126.9698664,37.58504072
11110,2272,1111010100,?????????,???ес?,???,1.11E+11,???????,0,106,4,???????,3047,????,0,???????,1025,126.9704656,37.58539992
11110,7359,1111010100,?????????,???ес?,???,1.11E+11,???????,0,115,18,???????? (?????),3031,????,0,???????,1830,126.9694615,37.58630802
11110,6143,1111010100,?????????,???ес?,???,1.11E+11,??????,0,31,0,?????,3047,????,0,???????,600,126.9727176,37.58656586
11110,6153,1111010100,?????????,???ес?,???,1.11E+11,??????,0,32,0,?????,3048,????,0,???????,1925,126.9734268,37.5866341
11110,24256,1111010100,?????????,???ес?,???,1.11E+11,??????,0,44,0,?????,3048,????,0,???????,2890,126.9729669,37.58775716
11110,1382,1111010100,?????????,???ес?,???,1.11E+11,???????26??,0,1,3,?????,3047,????,0,???????,840,126.9707012,37.58452507
11110,3245,1111010100,?????????,???ес?,???,1.11E+11,???????26??,0,1,7,?????,3047,????,0,???????,1370,126.9707677,37.58468414
11110,23809,1111010100,?????????,???ес?,???,1.11E+11,???????28????,0,4,0,?????,3047,????,0,???????,970,126.9714688,37.58538832
11110,1277,1111010100,?????????,???ес?,???,1.11E+11,???????28??,0,4,0,??????????,3047,????,0,???????,1020,126.9707267,37.5849661
11110,2386,1111010100,?????????,???ес?,???,1.11E+11,???????28??,0,9,0,???????,3047,????,0,???????,1525,126.9713511,37.58517448
11110,6003,1111010100,?????????,???ес?,???,1.11E+11,???????28??,0,17,0,?????????,3047,????,0,???????,1245,126.9717598,37.58548626
11110,24581,1111010100,?????????,???ес?,???,1.11E+11,???????28??,0,21,0,?????,3047,????,0,???????,1985,126.972079,37.58587705
11110,29545,1111010100,?????????,???ес?,???,1.11E+11,???????30??,0,6,0,?????(??????),3047,????,0,???????,1855,126.9704009,37.58573565
11110,29061,1111010100,?????????,???ес?,???,1.11E+11,???????30??,0,9,0,???????,3047,????,0,???????,2785,126.9706092,37.58562669
