Food and drink,Sports and leisure,Transport,Sightseeing and culture,Service and store,Entertainment,Lodging
African Restaurant,Athletics & Sports,Airport,Art Gallery,Antique Shop,Arcade,Boarding House
American Restaurant,Badminton Court,Airport Lounge,Art Museum,Auto Dealership,Bath House,Hostel
Asian Restaurant,Baseball Field,Airport Service,Arts & Crafts Store,Auto Workshop,Concert Hall,Hotel
Bakery,Baseball Stadium,Airport Terminal,Botanical Garden,Bagel Shop,General Entertainment,Residential Building (Apartment / Condo)
Bar,Basketball Court,Bridge,Cemetery,Board Shop,Indie Movie Theater,Resort
BBQ Joint,Bike Rental / Bike Share,Bus Station,Cultural Center,Bookstore,Jazz Club,
Beach Bar,Bike Trail,Bus Stop,Exhibit,Bridal Shop,Lounge,
Bed & Breakfast,Bowling Alley,Intersection,Farmers Market,Camera Store,Movie Theater,
Beer Bar,College Gym,Light Rail Station,Fish Market,Car Wash,Multiplex,
Beer Garden,College Hockey Rink,Metro Station,Flea Market,Church,Music Venue,
Bistro,Dance Studio,Road,Forest,Clothing Store,Nightclub,
Bossam/Jokbal Restaurant,Golf Course,Train Station,Fountain,College Auditorium,Other Nightlife,
Brazilian Restaurant,Golf Driving Range,Tunnel,Garden,Community Center,Outdoors & Recreation,
Breakfast Spot,Gym,,Harbor / Marina,Convenience Store,Plaza,
Brewery,Gym / Fitness Center,,Historic Site,Cosmetics Shop,Recreation Center,
Bubble Tea Shop,Gym Pool,,History Museum,Coworking Space,Rock Club,
Buffet,Hotel Pool,,Lake,Department Store,Sauna / Steam Room,
Bunsik Restaurant,Other Great Outdoors,,Library,Design Studio,Spa,
Burger Joint,Playground,,Market,Dog Run,Theater,
Burrito Place,Pool,,Memorial Site,Duty-free Shop,Toy / Game Store,
Café,Rock Climbing Spot,,Monument / Landmark,Electronics Store,Video Game Store,
Cantonese Restaurant,Skate Park,,Mountain,Event Space,,
Caribbean Restaurant,Soccer Field,,Museum,Flower Shop,,
Chinese Restaurant,Soccer Stadium,,Outdoor Sculpture,Furniture / Home Store,,
Chocolate Shop,Sporting Goods Shop,,Palace,Gift Shop,,
Cocktail Bar,Sports Club,,Park,Government Building,,
Coffee Shop,Stadium,,Pedestrian Plaza,Hobby Shop,,
Comfort Food Restaurant,Surf Spot,,Performing Arts Venue,IT Services,,
Cupcake Shop,Tennis Court,,Pier,Jewelry Store,,
Deli / Bodega,Track,,Planetarium,Lawyer,,
Dessert Shop,Trail,,Public Art,Luggage Store,,
Dim Sum Restaurant,Yoga Studio,,River,Massage Studio,,
Diner,,,Scenic Lookout,Men's Store,,
Dive Bar,,,Science Museum,Miscellaneous Shop,,
Donut Shop,,,Sculpture Garden,Mobile Phone Shop,,
Dumpling Restaurant,,,Street Art,Motorcycle Shop,,
Eastern European Restaurant,,,Theme Park,Office,,
Fast Food Restaurant,,,Tourist Information Center,Optical Shop,,
Food,,,Tree,Other Repair Shop,,
Food & Drink Shop,,,Village,Outlet Mall,,
Food Court,,,Water Park,Outlet Store,,
Food Truck,,,Zoo,Paper / Office Supplies Store,,
French Restaurant,,,,Pet Service,,
Fried Chicken Joint,,,,Pet Store,,
Frozen Yogurt Shop,,,,Pharmacy,,
Fruit & Vegetable Store,,,,Photography Studio,,
Gastropub,,,,Pilates Studio,,
German Restaurant,,,,Record Shop,,
Gourmet Shop,,,,Shoe Store,,
Grocery Store,,,,Shop & Service,,
Gukbap Restaurant,,,,Shopping Mall,,
Halal Restaurant,,,,Shopping Plaza,,
Health Food Store,,,,Souvenir Shop,,
Himalayan Restaurant,,,,Thrift / Vintage Store,,
Hot Dog Joint,,,,Used Bookstore,,
Hotel Bar,,,,Warehouse Store,,
Ice Cream Shop,,,,Women's Store,,
Indian Restaurant,,,,,,
Indonesian Restaurant,,,,,,
Italian Restaurant,,,,,,
Janguh Restaurant,,,,,,
Japanese Curry Restaurant,,,,,,
Japanese Restaurant,,,,,,
Juice Bar,,,,,,
Kebab Restaurant,,,,,,
Korean BBQ Restaurant,,,,,,
Korean Restaurant,,,,,,
Latin American Restaurant,,,,,,
Liquor Store,,,,,,
Mexican Restaurant,,,,,,
Middle Eastern Restaurant,,,,,,
Modern European Restaurant,,,,,,
Moroccan Restaurant,,,,,,
New American Restaurant,,,,,,
Noodle House,,,,,,
Organic Grocery,,,,,,
Paella Restaurant,,,,,,
Pastry Shop,,,,,,
Pet Café,,,,,,
Pie Shop,,,,,,
Pizza Place,,,,,,
Pub,,,,,,
Ramen Restaurant,,,,,,
Restaurant,,,,,,
Russian Restaurant,,,,,,
Sake Bar,,,,,,
Salad Place,,,,,,
Samgyetang Restaurant,,,,,,
Sandwich Place,,,,,,
Scandinavian Restaurant,,,,,,
Seafood Restaurant,,,,,,
Shabu-Shabu Restaurant,,,,,,
Smoke Shop,,,,,,
Smoothie Shop,,,,,,
Snack Place,,,,,,
Soba Restaurant,,,,,,
Soup Place,,,,,,
Spanish Restaurant,,,,,,
Sports Bar,,,,,,
Steakhouse,,,,,,
Supermarket,,,,,,
Sushi Restaurant,,,,,,
Szechuan Restaurant,,,,,,
Taco Place,,,,,,
Tapas Restaurant,,,,,,
Tea Room,,,,,,
Thai Restaurant,,,,,,
Theme Restaurant,,,,,,
Turkish Restaurant,,,,,,
Udon Restaurant,,,,,,
Vegetarian / Vegan Restaurant,,,,,,
Vietnamese Restaurant,,,,,,
Whisky Bar,,,,,,
Wine Bar,,,,,,
Wings Joint,,,,,,
