,0
0,Turkish Restaurant
1,Antique Shop
2,Flower Shop
3,Gukbap Restaurant
4,Liquor Store
5,Fried Chicken Joint
6,Cocktail Bar
7,Fountain
8,Other Great Outdoors
9,Performing Arts Venue
10,Ice Cream Shop
11,Pastry Shop
12,Restaurant
13,Taco Place
14,Korean Restaurant
15,Farmers Market
16,Food & Drink Shop
17,Shopping Plaza
18,Recreation Center
19,Himalayan Restaurant
20,Historic Site
21,Italian Restaurant
22,Board Shop
23,Souvenir Shop
24,Street Art
25,Bookstore
26,American Restaurant
27,Record Shop
28,Cultural Center
29,Train Station
30,Miscellaneous Shop
31,General Entertainment
32,Sushi Restaurant
33,Seafood Restaurant
34,Spa
35,Food Court
36,Tennis Court
37,Korean BBQ Restaurant
38,Science Museum
39,Organic Grocery
40,Stadium
41,Community Center
42,Sandwich Place
43,Toy / Game Store
44,Middle Eastern Restaurant
45,Market
46,Food
47,Burger Joint
48,Gym / Fitness Center
49,Department Store
50,Office
51,Nightclub
52,Outdoors & Recreation
53,Trail
54,Plaza
55,Snack Place
56,Outlet Store
57,Optical Shop
58,Wine Bar
59,Bar
60,Residential Building (Apartment / Condo)
61,Gift Shop
62,Bike Rental / Bike Share
63,Dessert Shop
64,Mexican Restaurant
65,Auto Dealership
66,Art Gallery
67,Metro Station
68,Concert Hall
69,Auto Workshop
70,Cemetery
71,Shoe Store
72,Sports Bar
73,Hotel
74,Jazz Club
75,Chinese Restaurant
76,Gastropub
77,Airport Lounge
78,Paper / Office Supplies Store
79,Wings Joint
80,Whisky Bar
81,Soup Place
82,German Restaurant
83,Theater
84,Pie Shop
85,Mobile Phone Shop
86,Clothing Store
87,New American Restaurant
88,Hostel
89,Gourmet Shop
90,Janguh Restaurant
91,Water Park
92,Steakhouse
93,Dog Run
94,Bridal Shop
95,Eastern European Restaurant
96,Duty-free Shop
97,Chocolate Shop
98,Burrito Place
99,Baseball Field
100,Bagel Shop
101,History Museum
102,Bus Station
103,Warehouse Store
104,Comfort Food Restaurant
105,Bubble Tea Shop
106,Outdoor Sculpture
107,Russian Restaurant
108,Moroccan Restaurant
109,Theme Park
110,Bed & Breakfast
111,Golf Course
112,Badminton Court
113,Women's Store
114,Movie Theater
115,Airport Terminal
116,French Restaurant
117,Theme Restaurant
118,Pet Café
119,Kebab Restaurant
120,Hotel Bar
121,Tree
122,Cantonese Restaurant
123,Bus Stop
124,Dim Sum Restaurant
125,Athletics & Sports
126,African Restaurant
127,Soccer Field
128,Juice Bar
129,Motorcycle Shop
130,Basketball Court
131,Vietnamese Restaurant
132,Shop & Service
133,Lounge
134,Modern European Restaurant
135,Shabu-Shabu Restaurant
136,Airport Service
137,Thai Restaurant
138,Breakfast Spot
139,Tourist Information Center
140,Tapas Restaurant
141,Light Rail Station
142,Monument / Landmark
143,Arts & Crafts Store
144,Road
145,Samgyetang Restaurant
146,Design Studio
147,Bakery
148,College Gym
149,Spanish Restaurant
150,Intersection
151,Village
152,Park
153,Pool
154,Furniture / Home Store
155,Salad Place
156,Church
157,Sake Bar
158,Deli / Bodega
159,Hot Dog Joint
160,Multiplex
161,Men's Store
162,River
163,Photography Studio
164,Library
165,Noodle House
166,Baseball Stadium
167,Supermarket
168,Tunnel
169,Diner
170,Coffee Shop
171,BBQ Joint
172,Donut Shop
173,Bunsik Restaurant
174,Udon Restaurant
175,Beer Bar
176,Rock Club
177,Grocery Store
178,Frozen Yogurt Shop
179,Sauna / Steam Room
180,Fish Market
181,Latin American Restaurant
182,Brewery
183,Indonesian Restaurant
184,Garden
185,Japanese Curry Restaurant
186,Ramen Restaurant
187,Pub
188,Shopping Mall
189,Zoo
190,Soccer Stadium
191,Botanical Garden
192,Government Building
193,Public Art
194,Beach Bar
195,Health Food Store
196,Tea Room
197,Pizza Place
198,Buffet
199,Convenience Store
200,Asian Restaurant
201,Video Game Store
202,Mountain
203,Resort
204,Track
205,Bridge
206,Halal Restaurant
207,Arcade
208,Airport
209,Cupcake Shop
210,College Auditorium
211,Playground
212,Event Space
213,Memorial Site
214,Used Bookstore
215,Museum
216,Vegetarian / Vegan Restaurant
217,Scenic Lookout
218,Bossam/Jokbal Restaurant
219,Cosmetics Shop
220,Dumpling Restaurant
221,Outlet Mall
222,Other Nightlife
223,Caribbean Restaurant
224,Brazilian Restaurant
225,Pharmacy
226,Fast Food Restaurant
227,Sports Club
228,Gym
229,Dive Bar
230,Smoke Shop
231,Planetarium
232,Bistro
233,Boarding House
234,Bath House
235,Indie Movie Theater
236,Café
237,Music Venue
238,Food Truck
239,Paella Restaurant
240,Japanese Restaurant
241,Golf Driving Range
242,Bowling Alley
243,Soba Restaurant
244,Thrift / Vintage Store
245,Indian Restaurant
246,Flea Market
247,Pet Store
248,Yoga Studio
249,Dance Studio
250,Lawyer
251,Luggage Store
252,Lake
253,Pet Service
254,Jewelry Store
255,Art Museum
256,Skate Park
257,Rock Climbing Spot
258,Palace
259,Beer Garden
260,Other Repair Shop
261,Electronics Store
